ra,dec,redshift,extinction_r
171.10951,7.1995307,0.1323708,0.2481676
171.08506,7.2149692,0.09198587,0.2426466
171.08249,7.2338203,0.09145053,0.2388297
171.06784,7.1001244,0.09567215,0.2330592
171.01693,7.108122,0.09224786,0.2308801
171.96491,7.4543674,0.157046,0.2249699
171.09806,7.0851933,0.09747746,0.2204425
171.99935,7.4339227,0.1338792,0.2196449
171.92132,7.4996769,0.133192,0.2185315
171.93529,7.5387938,0.1504808,0.2135751
170.94168,7.07845,0.2728478,0.2121918
172.07418,7.4694944,0.2438317,0.2109433
172.0878,7.4983069,0.1569802,0.2104711
171.79345,7.4918018,0.1332184,0.2100143
171.80816,7.3884173,0.1226866,0.2093326
171.9146,7.5424007,0.01903421,0.2076799
172.09068,7.4715364,0.244981,0.2054678
170.87627,7.1144535,0.2741,0.2053506
171.76317,7.3820676,0.07130779,0.2049004
169.9046,6.363716,0.2569358,0.2035281
170.88848,7.1513554,0.09159324,0.2032863
171.72633,7.450911,0.1252881,0.2027054
171.31931,7.3014361,0.0913825,0.2022359
171.95152,7.3861012,0.1505259,0.2016825
168.4672,6.1526254,0.1499672,0.2011158
171.06829,7.047549,0.09154446,0.200856
172.28751,7.5846493,0.1160744,0.2001114
171.79602,7.5350837,0.124339,0.2000454
170.84331,7.1113564,0.2392744,0.1998422
171.7958,7.5357474,0.1240344,0.1997996
170.85554,7.1407163,0.2400072,0.1994041
171.70327,7.4371982,0.07505596,0.1992021
171.98343,7.3697795,0.1230402,0.197942
169.27995,5.9815712,0.08268153,0.1977751
171.03536,7.041837,0.09146037,0.1972068
169.42674,6.0165839,0.1105944,0.1969406
171.88566,7.5758277,0.08009698,0.1958854
172.51193,7.6123339,0.13357,0.1954522
170.42118,6.2958641,0.10016,0.1952728
168.45239,6.1652569,0.1519673,0.1947619
170.34969,6.2097324,0.09811947,0.1941413
172.46249,7.6312669,0.1158756,0.1934371
172.33716,7.5284713,0.1509013,0.1934235
168.44217,6.0830965,0.1510017,0.1930968
171.87036,7.5951801,0.1318253,0.1928917
169.72499,6.3438494,0.03813673,0.1928442
170.83847,7.158762,0.2390831,0.1921722
172.20815,7.4979971,0.115811,0.1921445
170.85122,7.1742496,0.2387206,0.191944
168.08361,5.1611299,0.07578846,0.1916476
172.50243,7.6605034,0.0210612,0.1913901
169.93876,6.4086171,0.02875915,0.1909514
170.45927,6.5771471,0.09798899,0.1908975
172.13691,7.5867074,0.110649,0.1904739
171.8405,7.6413821,0.0639568,0.1904276
168.06296,5.1146487,0.04228985,0.190012
169.62592,6.1896365,0.09472646,0.1898813
170.8019,7.1034494,0.2550658,0.1898676
169.14239,6.0364471,0.04763643,0.1893963
171.77112,7.3368843,0.1258793,0.188679
171.78635,7.6877583,0.0189395,0.1877999
156.28972,-0.43185834,0.1953122,0.1877733
171.0065,7.0148454,0.09162187,0.1876534
169.67161,6.2375496,0.0944867,0.1871806
156.23093,-0.46514109,0.1307617,0.1866674
169.51603,6.158113,0.15788,0.1866612
172.12448,7.5985413,0.1105105,0.1862866
170.35582,6.3402667,0.2311569,0.1861453
171.06132,7.3610101,0.1700655,0.186135
171.81887,7.6020792,0.132048,0.1861325
170.85203,7.2086942,0.2739479,0.1860434
170.801,6.982645,0.2365409,0.1858785
171.88162,7.712765,0.1042335,0.185573
170.54879,6.4883544,0.1708821,0.1855096
167.9579,5.1117724,0.04165377,0.1843425
169.36616,6.1536997,0.2237527,0.1843011
167.99995,5.0639482,0.07553738,0.1842397
171.80532,7.6120687,0.1039205,0.1838892
169.18947,5.9085698,0.08318808,0.1836259
168.11356,5.19422,0.1158103,0.1833563
171.80865,7.7425193,0.09156107,0.1831476
169.11129,6.0320031,0.04792018,0.1831467
169.61019,6.1017279,0.1688523,0.1829501
159.05953,-0.1590316,0.02770622,0.1823258
171.9885,7.0602384,0.226606,0.1822812
169.5162,6.0571805,0.03373153,0.1822606
169.13349,5.907458,0.1686314,0.1820811
169.1754,5.8947023,0.08282176,0.1820507
170.78265,6.9800771,0.2378513,0.1817417
167.96523,5.0714036,0.07555987,0.1813271
172.01326,7.3298926,0.0876973,0.1808856
172.00046,7.0625076,0.2441183,0.180823
169.22262,6.1540196,0.03369156,0.1804933
159.16721,0.044070036,0.09670122,0.1804575
159.03906,-0.20383547,0.05854148,0.1804361
170.45384,6.1373455,0.2703804,0.1800603
158.97334,-0.056495326,0.05840081,0.1799263
170.77112,7.0184946,0.2330918,0.1797174
156.32791,-0.42294276,0.1037146,0.1796501
158.9962,-0.20614758,0.07247914,0.1794095
159.09347,0.077469112,0.02922927,0.1791592
169.5132,6.4493997,0.1277346,0.1790775
156.48138,-0.44271114,0.1699974,0.1790658
168.46189,5.9956939,0.2781013,0.1782335
169.97033,5.9893761,0.1686676,0.1780383
169.16295,5.7399396,0.04839473,0.1777147
169.74626,6.5354495,0.04870412,0.1775578
172.00135,7.0811953,0.06479492,0.1774738
158.95613,-0.23901147,0.02795164,0.1773695
172.51744,7.6963435,0.1850526,0.1772447
169.31274,6.418984,0.2234662,0.1768773
169.10589,5.7606554,0.06190518,0.1767982
168.47503,6.2070498,0.1505714,0.1767814
169.41716,6.2224775,0.1273718,0.1766713
156.23819,-0.36562206,0.07481626,0.1765044
158.92546,-0.047414756,0.2241012,0.1764527
154.29514,1.9067087,0.07137419,0.1764491
158.96792,-0.30007943,0.08440021,0.1762228
170.6792,6.5762784,0.1445995,0.1761019
169.18815,5.7028065,0.2238631,0.1760433
170.51166,6.7098706,0.09854007,0.1760049
156.50634,-0.49195833,0.1715438,0.1759876
171.93209,7.0996887,0.1229855,0.1758323
171.1064,7.0073254,0.07459014,0.1758229
170.59125,6.6196335,0.1565135,0.1757669
169.10057,5.731327,0.01659817,0.1757476
169.57752,6.554238,0.1032679,0.1757353
159.02403,0.10189297,0.0968341,0.1757006
170.80343,7.2149006,0.1501389,0.175691
172.17569,7.4519262,0.1508785,0.1756487
171.40992,7.3343923,0.07339104,0.1756413
170.54987,6.6669686,0.2377005,0.1755322
158.9726,-0.32810702,0.0848925,0.1755257
172.0132,7.0691393,0.06416238,0.1755232
171.54134,7.2741813,0.2297717,0.1754468
169.51884,6.3714116,0.1507827,0.1754243
170.45056,6.384688,0.09330902,0.1752245
169.50637,6.3832843,0.09901655,0.1752132
169.07494,5.7758374,0.2548067,0.1750338
158.93193,0.0085622256,0.01676873,0.1750186
172.00448,7.0097363,0.123359,0.1745672
158.90527,-0.033193851,0.08268926,0.174396
169.49582,6.3506359,0.2708248,0.1743438
158.87283,-0.27709936,0.1507284,0.1742458
169.21015,5.707564,0.1343914,0.1740922
157.38976,0.6642326,0.09667995,0.1736105
159.02905,-0.38294346,0.01683272,0.1735917
169.31871,6.1926105,0.03887621,0.1735628
170.52107,6.7452503,0.03736911,0.1735604
158.89364,-0.35450834,0.02937375,0.1733714
169.60515,6.4785337,0.08213311,0.1731495
169.73233,5.8977791,0.1026138,0.1731128
154.30587,1.9251573,0.2151589,0.1731121
159.04552,0.13886839,0.09488087,0.1730317
170.72957,6.839187,0.09850454,0.1729141
168.49998,6.2128079,0.04736599,0.1728384
169.05554,5.7768475,0.06302001,0.172833
159.12099,-0.32534855,0.2823733,0.1726778
