ra,dec,redshift,extinction_r
118.12544,24.946588,0.3871165,0.2521108
119.35188,20.855171,0.3427319,0.2514659
118.38957,24.933058,0.5634564,0.2504608
118.42146,24.957825,0.4721135,0.2487077
118.13905,24.909725,0.3499509,0.2483812
118.40832,24.940257,0.5777707,0.2482169
118.31135,24.890986,0.3495401,0.2409756
118.21887,24.850916,0.3489915,0.2297663
119.24784,20.835185,0.3436172,0.2245545
130.2087,13.177265,0.3194634,0.211485
118.41964,24.867269,0.4643201,0.2075503
130.22328,13.245998,0.3339027,0.2050596
118.03735,24.873266,0.4177187,0.2046636
119.27366,20.889299,0.3412323,0.2042353
118.35784,24.840361,0.3506246,0.2005482
117.84201,24.836888,0.3873017,0.2004873
117.82478,24.819442,0.5889854,0.2004599
117.87185,24.820548,0.3826649,0.1992123
117.86865,24.867176,0.3867578,0.1966068
118.34585,24.825981,0.3480256,0.1939347
118.58933,24.993613,0.409968,0.1933018
117.73789,24.38923,0.5589802,0.1914669
117.82022,24.894381,0.3902152,0.1912307
130.13143,13.249372,0.5036216,0.1897943
117.71584,24.220211,0.3398927,0.1887656
130.79674,12.259598,0.3370567,0.1886412
118.20249,24.775812,0.5880398,0.1882408
117.93548,24.768234,0.3180682,0.1879495
115.4209,20.727355,0.5069895,0.1870314
117.9442,24.766862,0.3187225,0.186548
119.27429,20.554238,0.4398651,0.1864696
117.76121,23.52823,0.5582876,0.1859929
117.78115,24.685868,0.5868164,0.1857388
117.7977,23.467881,0.5431238,0.1853402
117.8605,24.248192,0.4504618,0.1853282
130.10716,13.23056,0.3079654,0.185183
130.14209,13.266579,0.5072958,0.1849072
118.05688,24.786931,0.4447862,0.1843423
118.79866,21.073806,0.497013,0.1842335
117.65137,22.649124,0.4990745,0.1836311
117.7092,23.537128,0.483225,0.1833896
130.79344,12.230536,0.5026104,0.1829643
117.70909,24.907771,0.3884773,0.1821202
117.91301,24.255891,0.3184285,0.1817555
137.02353,13.463671,0.4992667,0.181552
119.46207,20.655107,0.3811714,0.1805975
118.6512,24.974716,0.5624642,0.1805167
117.89733,24.38679,0.5474222,0.180471
117.82054,23.417882,0.396865,0.1798702
118.74909,24.925865,0.48377,0.179586
115.4073,20.689472,0.4440378,0.1793985
118.03506,24.76821,0.3888953,0.1786956
118.12872,24.751951,0.4520498,0.1780989
119.50082,20.600427,0.3865194,0.1774589
117.8612,22.599826,0.3309168,0.1774403
117.72357,24.071549,0.3530845,0.177303
120.3401,22.568582,0.5604486,0.1772926
118.64658,24.938105,0.4557027,0.1771052
120.36556,22.541387,0.3432173,0.1767691
117.57805,22.940354,0.3084685,0.1763979
121.58211,17.336029,0.3922729,0.1763536
117.68976,23.445844,0.3968377,0.1761741
117.54569,24.336268,0.5577294,0.1759589
121.40455,18.000321,0.4236464,0.1754701
129.43988,13.383442,0.3080203,0.1754509
117.4849,22.92921,0.4895234,0.1754484
118.42024,24.808545,0.5497991,0.1754437
137.08101,13.495197,0.5027644,0.1752993
117.64043,22.908142,0.3758891,0.1752811
137.084,13.448759,0.4622197,0.1752578
117.78783,24.603959,0.5842666,0.1751945
117.63257,24.486143,0.3185367,0.1751882
117.90443,24.176941,0.5210199,0.1751532
117.63277,24.486883,0.3177577,0.1751006
117.6909,24.002676,0.3939251,0.1750411
117.6252,22.82126,0.5519261,0.1747652
122.47553,16.494365,0.3633148,0.1747219
117.79491,24.096943,0.3799098,0.1745503
117.65716,23.452354,0.5432138,0.1743364
117.95118,24.386779,0.4987472,0.1743198
117.62915,24.210835,0.3919801,0.1742779
117.89583,22.672166,0.4475923,0.1742703
117.54552,24.293982,0.4285485,0.174174
117.65711,22.587952,0.4073299,0.1739099
117.75607,23.984363,0.5918574,0.1738648
117.60098,22.975423,0.3083179,0.1737416
117.61873,24.94303,0.5588337,0.1733839
119.8939,23.073689,0.5769498,0.173293
117.90199,22.621037,0.4487979,0.1732104
117.79827,23.376767,0.3976689,0.1731786
117.55112,24.269852,0.4994498,0.1728429
128.51689,13.172121,0.5962961,0.172764
117.7712,23.941782,0.4294965,0.1726319
117.77097,24.025284,0.3160274,0.1725729
117.92316,23.538736,0.5379079,0.1725468
118.55915,24.86954,0.324259,0.1722337
117.46107,22.905023,0.4878119,0.1716495
117.9183,22.705689,0.3303921,0.1715746
120.49278,22.435416,0.513263,0.1714564
121.59893,17.334494,0.3150181,0.1714439
129.68658,13.236293,0.5286293,0.1713202
121.40968,17.978959,0.4603135,0.1711534
117.55674,22.813299,0.5149658,0.1711279
117.80828,23.970143,0.457561,0.1710817
145.09044,13.865322,0.4575813,0.1708646
130.7915,12.189028,0.3378228,0.1706398
116.63098,20.259928,0.3435619,0.1700849
116.6104,22.24196,0.4854607,0.1699983
117.62166,23.401593,0.4845625,0.1699885
119.8351,23.095178,0.338944,0.1699152
117.70517,22.368077,0.4383598,0.1697155
118.60418,23.928987,0.3073093,0.1696606
145.14493,13.880273,0.4568085,0.1696217
117.60666,23.467202,0.5417898,0.1695993
130.10372,13.144457,0.4827613,0.1695246
117.82655,24.512482,0.4847797,0.1692929
145.09895,13.856702,0.3394541,0.1692646
118.64197,20.686826,0.4958138,0.1692586
120.56309,22.515327,0.5733108,0.1691118
120.49144,22.609393,0.4853129,0.1687662
120.14961,22.740556,0.4973054,0.1687477
118.47825,23.939493,0.4547629,0.168722
117.96294,22.65091,0.4855994,0.1686094
137.09604,13.516838,0.5025834,0.1685269
118.89916,24.895574,0.3622923,0.168468
117.91532,22.530466,0.4088742,0.168458
117.57774,24.095421,0.3408864,0.1684501
120.53927,22.429,0.3611847,0.1683594
117.7807,22.834409,0.5983171,0.1682983
131.05132,10.24553,0.5086223,0.1681858
117.92332,24.438445,0.3163936,0.1681705
