ra,dec,redshift,extinction_r
210.09667,10.463398,0.2384844,0.05204653
210.30376,10.438793,0.1117843,0.0567051
210.285,10.4114,0.1444828,0.05454409
210.32224,10.416293,0.1121778,0.05619352
210.34087,10.480931,0.03420725,0.06034612
210.34448,10.441911,0.1760872,0.05814698
210.37941,10.385966,0.1120945,0.05652684
210.00312,10.790854,0.1491228,0.05634046
210.01767,10.86633,0.08757297,0.05320841
210.02191,10.916122,0.176422,0.0546598
210.19636,10.853601,0.1021085,0.05428321
210.1989,10.832094,0.2816334,0.05538272
210.35125,10.710621,0.143498,0.04831767
210.36881,10.814818,0.2827854,0.04506069
210.06336,11.179896,0.1728609,0.05459212
210.22643,11.216062,0.04339534,0.05285243
210.25055,11.241523,0.1019394,0.05406807
210.32454,11.174693,0.03744071,0.0534602
210.37901,11.293096,0.1020611,0.0503566
210.00963,11.737386,0.2127272,0.05074123
210.01009,11.712661,0.1419222,0.05065325
210.00174,11.682438,0.2148451,0.05041271
210.0725,11.758923,0.160504,0.05026758
210.07343,11.689651,0.2629888,0.05139516
210.09851,11.762868,0.2649037,0.04932811
210.12016,11.661555,0.2616623,0.04985641
210.27035,11.54628,0.216282,0.04830593
210.36879,11.70944,0.07961828,0.04843391
223.57077,10.230428,0.0944892,0.07273153
223.64475,10.08092,0.1189739,0.07385172
223.80938,10.118844,0.1186979,0.07399077
223.80908,10.173759,0.05057795,0.07457473
223.80105,10.067806,0.1306283,0.07319722
223.84359,10.091811,0.1276286,0.07261503
210.01851,12.111511,0.03955529,0.05475382
210.08605,12.174047,0.03932802,0.04979187
210.10625,12.146842,0.03933259,0.05007433
210.13646,12.089311,0.0383087,0.05051599
210.1303,12.081084,0.03864135,0.05128216
210.13342,11.991318,0.0385623,0.05548071
210.13439,11.985049,0.09897692,0.05553936
210.24593,12.110437,0.02315141,0.04603787
210.2989,12.075132,0.06817517,0.0470179
210.29965,12.068091,0.06809594,0.04706459
210.36045,12.049606,0.1174766,0.04786461
210.3368,12.053953,0.0239963,0.04750626
223.58718,10.619784,0.1244776,0.07189489
223.73503,10.621437,0.1270359,0.07607023
223.75524,10.614419,0.08718354,0.07607733
223.81875,10.579301,0.08643875,0.07560429
210.19752,12.51473,0.176136,0.06136705
210.19416,12.408282,0.1388308,0.05271163
210.24878,12.473063,0.06927681,0.05894559
223.59173,11.060011,0.1676328,0.0739191
223.64501,10.995227,0.08708809,0.0723756
223.53939,11.086262,0.08755065,0.07398851
223.73631,11.056153,0.1483555,0.07408248
223.80611,11.03209,0.1274363,0.07011464
210.06251,10.675982,0.2313432,0.05970588
210.03236,10.600991,0.08384643,0.05626674
210.13597,10.630946,0.03922134,0.05363482
210.20136,10.632903,0.03919561,0.05174258
210.17938,10.709711,0.1120612,0.05522963
210.17326,10.558628,0.1750073,0.05045741
210.26903,10.58412,0.1928949,0.05342507
210.14466,10.546459,0.2820259,0.05029058
210.25113,10.704899,0.1764447,0.05018748
210.31326,10.592438,0.07224911,0.05279433
210.3127,10.516769,0.1117438,0.05863365
210.37306,10.495197,0.0802297,0.06001284
210.38023,10.535488,0.06608985,0.0573063
210.01639,11.04404,0.04244522,0.06023558
210.02412,11.055708,0.2619241,0.05940949
210.09728,10.974552,0.1026871,0.05359105
210.22773,11.046341,0.1931916,0.05166758
210.26256,11.013774,0.2831777,0.05243356
210.31639,11.431007,0.107712,0.05112674
210.00718,11.897874,0.1752599,0.05383237
210.1867,11.952373,0.09914713,0.05413416
210.38294,11.792185,0.1594176,0.04811487
210.28208,11.88303,0.2160307,0.04841711
223.5301,10.399776,0.04599113,0.06671917
223.57252,10.399006,0.1281734,0.06908225
223.58169,10.376961,0.04568642,0.06949349
223.6314,10.3083,0.04617965,0.07254855
223.6253,10.319526,0.02385188,0.07211695
223.61348,10.378434,0.1256263,0.07092629
223.6165,10.272875,0.0466703,0.07258327
223.64046,10.284205,0.09474695,0.07345434
223.69952,10.430557,0.07222776,0.07077945
223.76083,10.433048,0.1136805,0.07291499
223.85132,10.230646,0.02821671,0.07382631
223.78878,10.342158,0.0860436,0.07614289
223.87516,10.339238,0.1086293,0.07461197
210.13224,12.304497,0.02307024,0.04896568
210.14146,12.365774,0.2123804,0.05153224
210.22722,12.299831,0.06885839,0.05048946
210.26204,12.264624,0.06890772,0.05246606
210.27972,12.197749,0.1207047,0.04735652
210.19131,12.274442,0.2109863,0.0485987
210.3145,12.184196,0.1095514,0.04670096
241.15023,23.625067,0.03098239,0.1920853
241.33534,23.48742,0.03223018,0.1467495
241.03994,24.330759,0.03692729,0.1758583
241.07591,24.280671,0.0320807,0.1770356
241.02203,24.194137,0.03082533,0.1829429
241.13034,24.287135,0.08771293,0.1680318
241.13711,24.293856,0.06293282,0.1666977
241.03193,24.130793,0.1769361,0.1816491
241.06973,24.180676,0.2672244,0.1760517
241.17997,24.205627,0.03098996,0.1623321
241.11468,24.111063,0.0328217,0.1789576
241.1232,24.109039,0.03201843,0.1786732
241.14405,24.062399,0.1103169,0.1820376
241.18671,24.090495,0.08783419,0.1775334
241.19013,24.093013,0.2894071,0.1770012
241.19377,24.098629,0.08772572,0.1760582
241.12308,24.172697,0.2372439,0.1695107
241.2332,24.094373,0.05585952,0.175058
241.23139,24.091236,0.0555539,0.1754588
241.23113,24.073205,0.03609555,0.1763289
241.26755,24.044571,0.03357157,0.1720397
241.34476,24.131452,0.03236114,0.1698282
241.32529,24.031782,0.1098254,0.1620006
241.37877,23.97051,0.05333448,0.1502456
241.06779,24.812364,0.04222704,0.1563716
241.0335,24.674332,0.09126094,0.1565197
241.04993,24.697223,0.09120993,0.1543643
241.17978,24.670649,0.08697464,0.1700375
241.03694,24.646241,0.08703969,0.1601583
241.14781,24.79746,0.08470764,0.1545471
241.08518,24.691104,0.03328609,0.1571826
241.13409,24.739253,0.02975898,0.1552424
241.19114,24.755843,0.09042459,0.1608071
241.12893,24.641405,0.08697243,0.1708509
241.12178,24.601808,0.08790574,0.1726401
241.14107,24.624006,0.08710327,0.1734087
241.17356,24.631809,0.09058078,0.1736875
241.18436,24.626355,0.08943996,0.1735498
241.18887,24.623477,0.08774931,0.1735162
241.19848,24.60729,0.08952799,0.1724323
241.24284,24.586085,0.08617051,0.165981
241.26658,24.61503,0.08791228,0.1633028
241.23364,24.510555,0.08917374,0.1638649
241.327,24.618072,0.08817028,0.1513238
241.34581,24.634029,0.08665277,0.1491961
241.28718,24.520067,0.1064151,0.1603454
241.3228,24.510359,0.08887969,0.1591932
241.36692,24.522869,0.0327836,0.1542362
241.37966,24.529899,0.1920597,0.1520003
241.26309,24.997897,0.08761805,0.1744487
241.33794,24.955244,0.2367068,0.177455
210.11742,10.236617,0.1687263,0.05783578
210.32542,10.118817,0.02277961,0.06363678
